baseMean,log2FoldChange,lfcSE,pvalue,padj,gene
18.67716139047567,-2.811735021381469,0.19072514007279046,7.789898577033649e-50,4.9508700406337354e-46,SH2D3C
16.539131676416122,-4.041615031155691,0.2869482324701542,1.1307774958493861e-45,3.637849975792062e-42,TEK
7.752397557940768,-3.8203651086795096,0.2742731049113802,8.063267167906222e-45,2.0498437794251197e-41,SYT15
30.466825293941923,-5.457940659289169,0.3931706163845031,2.4205285510391784e-44,5.1278897353765e-41,CA4
7.36195561690168,-2.238547178007416,0.1622382245859865,4.7107161728192e-44,8.553987610386408e-41,STARD13
14.584770545178973,-3.9347639171090036,0.291331339102493,1.8639664419543195e-42,2.96160968046017e-39,ADAMTS8
32.71246216487602,-3.0747907265426444,0.22813822771370676,3.641912590310195e-42,5.143594548381432e-39,LDB2
23.02105417783728,-4.690643772138191,0.3628135731726991,6.26695583230027e-39,7.965927558436872e-36,GPIHBP1
36.09433966014565,-2.7232429298243543,0.2137465148930362,6.795878105272767e-38,7.852946054192922e-35,CBX7
6.385018102499224,-3.8032252949518672,0.30204647564904963,6.6851841752384415e-37,6.069669717961131e-34,ADRB1
25.725649600999144,-3.511199781637144,0.28948204013148543,1.120478157561461e-34,7.495998874086174e-32,PLAC9
17.387662759954072,-2.074125359543681,0.17085489373377258,1.8874157372495203e-34,1.1995470718089326e-31,SASH1
148.2564823270633,-4.646668740986487,0.38423913440412105,2.6556035736569777e-34,1.6073989059406594e-31,CLEC3B
95.27946892346836,-6.093030795645436,0.5070517371652592,8.673328518122329e-34,5.01121267244786e-31,AGER
12.548315357801672,-2.2509480539662357,0.18792677711394853,1.06770732772902e-33,5.618935141262289e-31,ADARB1
31.829916183193102,-1.93836063002974,0.16168012482522343,1.0334670113913352e-33,5.618935141262289e-31,CRY2
12.327753711634452,-2.850790405119764,0.24344806988138926,1.7392735606428303e-32,7.369302076443672e-30,KANK3
13.985775316510319,-1.769975680284483,0.15122831451760096,3.7125947614352607e-32,1.4747122503938625e-29,AGTPBP1
17.76374034864693,-2.4454890607288866,0.21134210477463072,1.1631109684620165e-31,3.995757708140727e-29,PRKCE
32.78994288387123,-2.0746011110896303,0.17989577179350136,2.09534420944359e-31,7.008926380588809e-29,SECISBP2L
32.745727271600614,-2.3859939096111646,0.20712534073809402,2.1756025992373767e-31,7.090790933052896e-29,GALNTL4
7.12702313521679,-2.211177400035804,0.19226316336046392,2.4610410476519206e-31,7.82057318917589e-29,RASGRP2
4.024635555433269,-4.637080909382684,0.40949517355280823,6.722640489010255e-31,2.0841825184343745e-28,RSPO2
10.855165945800609,-3.372437821911869,0.29630654685898417,7.301792240633121e-31,2.2098352659687525e-28,SOX7
107.78871381014162,-2.408346461592111,0.21146264580495971,9.469393039541698e-31,2.7355785210366937e-28,SPTBN1
179.51204302862806,-5.797032740055663,0.5132389399103342,4.230255387986642e-30,1.1949061385932934e-27,FCN3
12.363782721050269,-3.5005891697393228,0.31393334005166024,1.1757263373884508e-29,3.1797143562860846e-27,SEMA3G
31.746828228984324,-3.25035194580206,0.29222531317115163,1.8843221306576816e-29,4.989920542247873e-27,ROBO4
17.105697621137168,-3.9686472554088223,0.3571019215498527,1.9926762836947114e-29,5.169164947355812e-27,RTKN2
62.53937882134009,-1.9984511586442206,0.18057018818503287,3.648565006785197e-29,9.275381960249329e-27,WFS1
206.05612687888345,-2.6573623533255213,0.24168872311834988,7.315460461405681e-29,1.7882080370178384e-26,C13orf15
32.88108113304322,-5.9338285248038485,0.5383852655519633,1.1054853194245063e-28,2.6512875273971505e-26,LGI3
12.339901737675731,-2.0757208663836866,0.1898813122822021,2.2633570343795262e-28,4.960264011034165e-26,DOCK4
42.03113218854965,-3.10194355649695,0.28519264980747916,2.9050400967020586e-28,6.154327444863311e-26,S1PR1
15.882812050128402,-3.1205567286677574,0.2879513545188716,4.851300582360351e-28,9.788076460695622e-26,SLIT2
6.775423725797925,-3.472858886215184,0.32162643602051816,6.250051993649022e-28,1.2413189201761363e-25,CCDC85A
22.44691241322058,-3.321778825204684,0.30781702557080776,6.958245548748875e-28,1.3607116795407225e-25,HIGD1B
7.005098461362333,-1.6580048684857047,0.15375364505357236,8.72778612912325e-28,1.6808922649588731e-25,LRRC8C
16.465346015001263,-3.5881584242881597,0.3370333718901945,3.001927555655897e-27,5.530072631875667e-25,PRX
20.65134880028029,-2.7272465047094263,0.2566322071174258,4.0628156910573804e-27,7.377492892718624e-25,KIAA1462
20.347479037778204,-1.801391674921473,0.16960683195377815,5.499770175446006e-27,9.846137845083687e-25,PPM1F
41.846740669681935,-4.218962048647205,0.3984618679002711,7.717778184313211e-27,1.3625094236222947e-24,TPPP
21.217762187371168,-4.357069065844651,0.4117771284903524,8.617685144359414e-27,1.5005396694514044e-24,PDE2A
6.10671752370618,-2.826076591154188,0.26802462927540666,9.994633843563359e-27,1.7167809565612684e-24,THSD1
13.201153063657621,-3.8905620839059325,0.36895965460453484,1.051853262458842e-26,1.759224581462413e-24,ADRB2
11.454624924330094,-3.1780499215708287,0.30288863077270833,1.669321160227895e-26,2.7556806841112692e-24,ARHGEF15
30.00377919386592,-3.6311027458166114,0.3462666775791484,1.9054006102355909e-26,3.1050701482954607e-24,VIPR1
22.318129094384158,-1.595390691232634,0.15160926979734562,1.9303425260513583e-26,3.1058966897011162e-24,SNRK
256.30228358327633,-4.037841297238836,0.38649299639270157,3.0608510119269114e-26,4.863309651575371e-24,NRGN
31.458450314610122,-2.5747247167214717,0.24750534848660777,4.054682794830526e-26,6.285252805498879e-24,COX7A1
52.940145381862834,-3.2169398240032985,0.3090267122734005,4.288660366894406e-26,6.567850834168048e-24,CDH5
17.94481956195261,-2.606288742876907,0.25102001875934166,5.62225891526492e-26,8.309829426968882e-24,CGNL1
33.41741459689409,-1.9542847970145834,0.18806171724699006,6.430711720697031e-26,9.395491572618387e-24,TOM1L2
6.566053896282466,-4.813022029225394,0.4635652787531852,7.910515689812199e-26,1.1426200560591234e-23,SCARA5
40.19087647286128,-2.25669883286717,0.21824476249710204,9.510961295667394e-26,1.3583576295418905e-23,TACC1
42.15275858138974,-2.2455982056816284,0.21745415803230173,1.0010303602291246e-25,1.4137885454302667e-23,CD83
8.92651816307776,-2.292314678905196,0.22184025390057438,1.106862070728735e-25,1.5460795363772473e-23,FRY
13.015800933892423,-1.7141409641769327,0.1657073983455546,1.1254797683759267e-25,1.5549971017202615e-23,PEAK1
11.833901126723546,-4.243898186002021,0.4135641302056442,2.7904084252840613e-25,3.656585721008836e-23,RASGRF1
3.9992217797672183,-3.5456209724813994,0.34888535585288527,4.0299623666820512e-25,5.174227438676319e-23,CCBE1
13.777291978201317,-2.7396957135976727,0.2691629886302659,4.835326971215831e-25,6.146184113112442e-23,PHACTR1
9.889820886787989,-2.7755745865467785,0.2732972730268849,5.4119318956799395e-25,6.810996665939377e-23,MYCT1
45.86474588223809,-1.4331438724458956,0.1410851964536761,8.793245967001712e-25,1.0851548493840656e-22,FAM65A
33.42863520164291,-2.861569899617702,0.2832722423504112,1.0644653026202207e-24,1.3010017751543871e-22,KCNAB2
9.875346042151262,-1.797510365131173,0.17726601691830526,1.1414648753832296e-24,1.381824764856784e-22,HERC1
43.19065827984039,-2.969901757289285,0.29473286959497985,1.2562265888903166e-24,1.5064052991872466e-22,CLEC14A
6.931415414180956,-2.6398825861134387,0.26365440178145594,2.03557711399571e-24,2.3310108735134657e-22,SIRPB1
28.751718833755874,-1.2031968936288167,0.11905388291466051,2.255283000334162e-24,2.5595448408256724e-22,MEF2A
9.44777727472703,-3.922313864297638,0.39241785770192944,3.2324663758748874e-24,3.6042000091004995e-22,ABCA8
