"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","41/1439","154/9380",0.266233766233766,1.7354223261103,3.9170716201689,0.000194465344795673,0.00315834184264699,0.00215570124251652,"7450/3384/5155/8516/5295/3908/131873/2324/10000/55679/83660/1277/255743/3683/9459/3691/7059/3910/3911/3687/2321/6696/10319/83706/3386/3791/55612/1285/3684/5881/22801/3383/5159/7057/3696/1286/5228/2244/3676/5880/1311",41
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","47/1439","184/9380",0.255434782608696,1.66503006314772,3.87812475217027,0.000200240693193757,0.00315834184264699,0.00215570124251652,"56920/9353/1945/659/5590/10501/1808/5532/85464/22885/5362/5295/9037/54437/2048/5530/5594/6608/55558/818/10509/6586/6092/2049/2770/5534/59277/64101/29984/27289/10154/2041/817/57556/5336/5881/2043/655/5578/10371/7225/25791/6387/5880/91653/10507/2051",47
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","36/1439","133/9380",0.270676691729323,1.76438316082075,3.77926695069371,0.00033017014613667,0.0049812626395402,0.00339992141330667,"5579/801/2776/5532/148327/2890/3708/5526/5530/5567/808/10000/408/818/5600/3762/5601/54331/2770/2793/2353/2775/2788/2791/5602/5521/817/5330/111/1815/3798/5578/3800/4128/50632/4129",36
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","50/1439","204/9380",0.245098039215686,1.5976508741092,3.6737280748864,0.00037130262129441,0.00536841706621501,0.00366417060487905,"857/5579/2549/288/858/1839/80326/4660/7023/5295/7078/54776/3708/5567/22808/2099/10000/89780/5594/3481/7099/1277/6608/818/5600/7475/5604/1634/51196/11211/4478/3791/7157/3316/1026/817/5336/7472/7291/5578/5328/7057/3059/7097/2535/4318/7481/960/2247/2719",50
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","31/1439","110/9380",0.281818181818182,1.83700802324847,3.75886876607988,0.000392168643624123,0.00544330077350283,0.00371528188696538,"7010/2034/5579/1978/6513/284/5295/3939/2597/5163/10000/3098/5594/7099/3101/818/3569/2026/2027/5604/2321/1906/1536/1026/817/5336/7076/230/5578/112399/7018",31
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","29/1439","101/9380",0.287128712871287,1.8716242715307,3.7489571943105,0.000425016894379529,0.00549843228657538,0.00375291146512804,"177/5581/7056/5579/5590/6777/1019/5295/6401/7048/3717/10000/5594/1277/3553/5600/5601/3569/51196/1906/5602/1285/1536/5330/5336/3383/5578/1286/1958",29
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","68/1439","300/9380",0.226666666666667,1.47750752837619,3.57823610119513,0.000427831907024597,0.00549843228657538,0.00375291146512804,"7010/10235/5923/1945/9693/5579/4208/9254/3315/5532/1845/8605/1849/284/4215/5155/7048/2264/4902/5530/5567/255189/1850/22808/2324/10000/408/5594/3481/6416/4616/9048/3553/5600/5601/5534/1326/8817/5604/6196/51701/3164/2353/2321/2246/25780/4294/5602/3791/2261/7157/6195/782/1843/1846/23162/10125/3556/5881/5159/5578/4915/55799/5228/2252/2247/5321/5880",68
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","40/1439","155/9380",0.258064516129032,1.68217175906207,3.64541910097124,0.000464254583627529,0.00575344073281259,0.00392696546301481,"525/535/9114/526/84790/6441/1778/8685/4973/23673/523/81035/7099/203068/948/3133/23480/10382/7059/4688/4360/83547/4481/2215/1536/3684/653361/1520/7057/7097/4689/653509/78989/729238/3122/1311/3127/2214/3118/51807",40
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","49/1439","201/9380",0.243781094527363,1.58906648135279,3.5936495452156,0.000482884402788066,0.00577796164715375,0.00394370201914029,"2118/890/2078/2313/7849/4208/8091/51804/6929/3486/7490/7048/4286/4066/8013/7102/6495/3206/4616/7704/578/3569/5218/6688/8938/2321/3728/7157/1031/1051/9915/3684/1026/64332/5468/4211/4005/6935/5327/4613/5328/6692/8900/4318/597/2115/7850/7113/3248",49
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","56/1439","238/9380",0.235294117647059,1.53374483914483,3.55036191118897,0.000514629103241073,0.00595254329415507,0.00406286134137689,"7010/10235/5923/1945/5579/801/9771/2114/2549/8605/284/2113/53358/5155/5295/23179/2264/5567/255189/22808/4303/808/2324/10000/5594/3481/5601/54331/83593/8817/5604/2793/51196/2321/2246/2788/25780/2791/5602/3791/2261/22821/10125/5336/5881/64926/5319/5159/5578/4915/5228/2252/2247/5321/5880/51365",56
