"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","50/2655","119/18860",0.420168067226891,2.98469670354017,8.7910008895691,8.17904976292908e-14,5.06937504306344e-10,3.70123525587707e-10,"UBE2C/CDC20/CCNB1/PLK1/BIRC5/AURKB/NUSAP1/CDCA8/ZWINT/TOM1L2/NUF2/MAD2L1/TRIP13/PKMYT1/NEK2/AURKA/BUB1/DLGAP5/TTK/NDC80/SPC25/CENPF/RCC1/BUB1B/CDC25C/MKI67/SPC24/ESPL1/SKA3/CAV2/KNTC1/SKA1/CHEK1/PDGFB/APC/XRCC3/IGF2/ZWILCH/FBXO5/IL1B/MAD2L2/KIF20B/OBSL1/BORA/EDN1/PRAP1/DUSP1/PDGFRB/BMP7/CCDC8",50
"GO:0006935","GO:0006935","chemotaxis","125/2655","474/18860",0.263713080168776,1.87330647532321,7.79433914154965,7.46352179560137e-13,1.59013235322348e-09,1.16098214814758e-09,"MDK/AGER/SEMA3G/DOCK4/S1PR1/SLIT2/PPM1F/CDH13/PTK2B/ECSCR/BMPR2/DAPK2/SPN/MYCBP2/ENPP2/HSPB1/SEMA6B/GAB1/DUSP3/CXCL2/HBEGF/CCL23/APOA1/ENG/ANGPT1/PDGFB/PPIA/SEMA5A/SEMA5B/SFTPD/CX3CL1/EDNRB/EDN2/SCRIB/PREX1/DEFB1/NOVA2/WNT3A/MAPK1/CTSG/ALOX5/IL16/MIR223/MPP1/PIP5K1C/ARTN/PLXNA3/S100A12/FLRT3/HMGB2/IL1B/NEDD9/P2RY12/FPR2/CXCL3/JAM3/CCRL2/IL34/CYSLTR1/IL6/SEMA4B/SLIT3/ROBO2/SPI1/ANO6/FGF18/MAP2K1/DOCK2/C5AR1/BIN2/NR4A1/FLT1/NCKAP1L/TPBG/FGF1/EDN1/PPBP/PLP2/KDR/MMP28/CXCL1/CH25H/PTAFR/ARHGEF16/DUSP1/EGR3/F2RL1/CMKLR1/CX3CR1/SEMA6A/ADAM8/RAC3/LEF1/PDE4B/LGR6/CAMK1D/PLA2G1B/ZNF580/PDGFRB/PLAU/THBS1/PERP/CCR1/SEMA3A/FLRT2/SERPIND1/CXCL10/CMTM7/PGF/CXCL12/FGF7/FGF2/CCL28/SCG2/RAC2/CCL24/SEMA4D/CCL18/CCL21/CCR2/GREM1/FPR1/PADI2/NTRK3/CXCL13",125
"GO:0050673","GO:0050673","epithelial cell proliferation","129/2655","496/18860",0.26008064516129,1.84750318935666,7.74222186835887,9.33731078538161e-13,1.59013235322348e-09,1.16098214814758e-09,"MDK/TEK/CDKN2A/RASGRF1/TIE1/CAV1/CDH13/BCL2L2/PPP1R16B/IQGAP3/KLK8/BMPR2/HMGN1/MEF2C/SIDT2/FLCN/TNFSF12/CD34/NME1/ZEB2/ACVRL1/HMGA2/CAV2/APOA1/ENG/SIX4/WDR77/MMRN2/CDK4/IGFBP3/PDGFB/KLF9/PTPRM/SEMA5A/UHRF1/EDNRB/FBXW7/TFAP2C/LGR4/MIR492/ESR1/ZNF703/NR4A3/TGFBR3/FLT4/AKT3/MTA3/HSF1/WNT3A/MAPK1/SIX1/IGF2/RTN4/LIMS2/ALOX5/VSTM4/HLX/GATA2/SMO/PHB2/HES1/HMGB2/FUT2/BAK1/DLL4/VASH1/MMP12/OVOL1/ZFP36/IL6/MARVELD3/MAP2K1/BTK/OVOL2/DAB2/CDH3/C5AR1/NR4A1/LAMA5/FLT1/BTRC/FGF1/ATOH8/KDR/FERMT1/RPS6KA1/LIPA/COL4A3/EGFL7/LOXL2/EGR3/EPPK1/CEBPB/FST/NCF1/CDKN1A/TNFAIP3/NFKBIZ/PPARG/FGL1/PRKX/SULF1/WNT2/MCC/ZEB1/BMP6/MYCN/ZNF580/OSR1/PRKCA/THBS1/HOXA5/CLDN18/CXCL12/FGF7/FGF2/OSR2/ITGA4/SCG2/CCL24/SFRP1/CEACAM1/LGR5/GPC3/HPN/BMP5/SERPINB5/FGFBP1/APOH",129
"GO:0042330","GO:0042330","taxis","125/2655","476/18860",0.262605042016807,1.86543543971261,7.74078885900861,1.02622288042819e-12,1.59013235322348e-09,1.16098214814758e-09,"MDK/AGER/SEMA3G/DOCK4/S1PR1/SLIT2/PPM1F/CDH13/PTK2B/ECSCR/BMPR2/DAPK2/SPN/MYCBP2/ENPP2/HSPB1/SEMA6B/GAB1/DUSP3/CXCL2/HBEGF/CCL23/APOA1/ENG/ANGPT1/PDGFB/PPIA/SEMA5A/SEMA5B/SFTPD/CX3CL1/EDNRB/EDN2/SCRIB/PREX1/DEFB1/NOVA2/WNT3A/MAPK1/CTSG/ALOX5/IL16/MIR223/MPP1/PIP5K1C/ARTN/PLXNA3/S100A12/FLRT3/HMGB2/IL1B/NEDD9/P2RY12/FPR2/CXCL3/JAM3/CCRL2/IL34/CYSLTR1/IL6/SEMA4B/SLIT3/ROBO2/SPI1/ANO6/FGF18/MAP2K1/DOCK2/C5AR1/BIN2/NR4A1/FLT1/NCKAP1L/TPBG/FGF1/EDN1/PPBP/PLP2/KDR/MMP28/CXCL1/CH25H/PTAFR/ARHGEF16/DUSP1/EGR3/F2RL1/CMKLR1/CX3CR1/SEMA6A/ADAM8/RAC3/LEF1/PDE4B/LGR6/CAMK1D/PLA2G1B/ZNF580/PDGFRB/PLAU/THBS1/PERP/CCR1/SEMA3A/FLRT2/SERPIND1/CXCL10/CMTM7/PGF/CXCL12/FGF7/FGF2/CCL28/SCG2/RAC2/CCL24/SEMA4D/CCL18/CCL21/CCR2/GREM1/FPR1/PADI2/NTRK3/CXCL13",125
"GO:0042060","GO:0042060","wound healing","120/2655","453/18860",0.264900662251656,1.88174255746374,7.68894001402139,1.55812546737851e-12,1.9314523293624e-09,1.4101855545811e-09,"AGER/PRKCE/VWF/CAV1/MACF1/F8/PEAR1/THBD/CLDN3/PECAM1/ARHGAP24/SLC6A4/DST/DUOX1/CD34/ACVRL1/ADORA2A/HSPB1/SVEP1/GNAQ/WFDC1/STXBP1/HBEGF/ENG/ANGPT1/DSP/PDGFB/PPIA/GPR4/AHNAK/MMRN1/SELP/CX3CL1/EPHB2/JAK2/MYH10/PPP3CA/SCRIB/CLASP2/SH2B3/FKBP10/TFPI2/SCUBE1/WNT3A/CTSG/TLR4/ALOX5/MYLK/GATA2/PRF1/CD36/TSKU/P2RY12/CPB2/IL6ST/DGKZ/MMP12/IL6/ANO6/ARHGEF19/UBASH3B/HBB/PABPC4/TYRO3/NDNF/FGF1/FERMT3/ADRA2C/ALOX15/VIL1/MCAM/EDN1/KDR/SYT11/DDR2/FERMT1/TNFRSF12A/RASA3/VANGL2/EPPK1/F2RL1/CDKN1A/TNFAIP3/SLC11A1/PPARG/F10/RAB3A/KRT6A/PLCG2/PROS1/FGL1/TIMP1/FBLN1/CHMP4C/DCBLD2/CASP1/PLAT/POU2F3/CLDN4/EMILIN2/AQP1/PRKCA/PLAU/THBS1/SERPIND1/PLEK/PHLDB2/ENTPD2/ADTRP/CD44/FGF2/FGB/PLA2G4A/CEACAM1/COMP/SERPINA1/CYP4F11/FOXA2/APOH/C4BPB",120
"GO:1905818","GO:1905818","regulation of chromosome separation","36/2655","76/18860",0.473684210526316,3.36485280999108,8.36149523823963,3.37517763818419e-12,3.48655850024427e-09,2.54559450290418e-09,"UBE2C/CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/DLGAP5/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/NCAPH/ESPL1/SKA3/NCAPG/KNTC1/SKA1/NCAPG2/NCAPD2/APC/SMC4/XRCC3/ZWILCH/FBXO5/MAD2L2/MAPK15/PRAP1/DUSP1",36
"GO:0072001","GO:0072001","renal system development","95/2655","334/18860",0.284431137724551,2.02047881637854,7.61646538510173,4.54596037508202e-12,3.81956285199356e-09,2.78872653329942e-09,"TEK/WFS1/SLIT2/EZH2/FOXF1/SOX4/CENPF/PECAM1/PAX8/MEF2C/CD24/FLCN/CD34/SGPL1/SIX4/ANGPT1/TFAP2A/RBP4/CAT/ACE/HOXB7/PDGFB/GPR4/ITGA8/WT1/STRA6/EDNRB/PRICKLE1/SMAD7/LGR4/PPP3CA/HELLS/LRRK2/TCF21/KANK2/ASS1/GCNT3/SIX1/SOX17/SMO/NPNT/ZBTB16/HES1/WNT6/BMP2/OVOL1/ROBO2/LHX1/EPCAM/PLCE1/EDNRA/AGTR2/LAMA5/FGF1/EDN1/COL4A3/ADAMTS1/ODC1/VANGL2/HEYL/MAGI2/PRKX/SULF1/SIX2/TIPARP/EMX2/MME/BMP6/CTSH/DCHS1/EPHA4/LRP4/PDGFRB/OSR1/BMP7/AQP1/DACT2/COL4A4/KCNJ8/MMP9/WNT11/FGF2/EGR1/OSR2/SFRP1/BASP1/FOXJ1/LGR5/GPC3/IRX2/LRP2/GREM1/MMP17/HPGD/PCSK9",95
"GO:0031589","GO:0031589","cell-substrate adhesion","102/2655","369/18860",0.276422764227642,1.96359070935342,7.56645865062399,4.93005853758446e-12,3.81956285199356e-09,2.78872653329942e-09,"MDK/TEK/PRKCE/PPM1F/THSD1/PEAK1/CDKN2A/VWF/FOXF1/MACF1/CDH13/PTK2B/PECAM1/DLC1/CASS4/CD34/MYADM/LYVE1/ACVRL1/SVEP1/DUSP3/APOA1/RCC2/ANGPT1/EMP2/HOXD3/PDGFB/UTRN/ITGA8/PIK3R1/LIMCH1/PTPN1/CX3CL1/JAK2/PKP2/PREX1/CLASP2/MINK1/ABI3BP/LIMS2/LYPD3/COL1A1/NPNT/LPXN/CD36/ITGAL/NEDD9/ITGB4/THBS3/MMP12/JAM3/GPM6B/BCAM/EPHB3/DAB2/NTN4/LAMA5/RHOD/TYRO3/ITGAX/JUP/MSLN/NDNF/SPOCK1/FERMT3/ALOX15/EPHA1/KDR/RADIL/FERMT1/TNFRSF12A/ECM2/FAM107A/ITGAM/SPRY4/PRKX/SORBS1/RAC3/FBLN1/LEF1/ITGA11/SIGLEC1/PLAU/THBS1/ITGB8/ATP1B2/SPOCK2/FBLN5/PHLDB2/CORO2B/CD44/CCL28/EDIL3/FGB/ITGA4/RAC2/SFRP1/APOD/CCL21/GREM1/ITGBL1/AGR2",102
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","30/2655","57/18860",0.526315789473684,3.73872534443453,8.38184085953036,6.99902069489282e-12,4.81999225188286e-09,3.51915672132681e-09,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/TOM1L2/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/CHEK1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/PRAP1/DUSP1/BMP7",30
"GO:0140014","GO:0140014","mitotic nuclear division","83/2655","281/18860",0.295373665480427,2.09820991749938,7.50748424029274,1.22461689429106e-11,7.590175510816e-09,5.54171371427082e-09,"UBE2C/TPX2/CDC20/CCNB1/PLK1/BIRC5/MYBL2/AURKB/KIF2C/NUSAP1/CDCA8/ZWINT/CDK1/TOM1L2/NUF2/MAD2L1/TRIP13/CDT1/PKMYT1/NEK2/KIF11/AURKA/BUB1/DLGAP5/TTK/KIF23/NDC80/PRC1/SPC25/CENPF/RCC1/BUB1B/RACGAP1/CDC25C/MKI67/SPC24/KIF18B/NCAPH/KIF4A/SPAG5/KIFC1/UBE2S/CENPK/RANBP1/ESPL1/SKA3/NCAPG/CAV2/KNTC1/SKA1/CHEK1/CHEK2/PDGFB/NCAPG2/NCAPD2/UHRF1/APC/KIF22/PRICKLE1/BANF1/KIF18A/ARHGEF10/CLASP2/SMC4/XRCC3/IGF2/ZWILCH/FBXO5/IL1B/MAD2L2/KAT2B/KIF20B/TUBG2/RPL24/OBSL1/BORA/EDN1/PRAP1/DUSP1/CHMP4C/PDGFRB/BMP7/CCDC8",83
"GO:0051783","GO:0051783","regulation of nuclear division","53/2655","147/18860",0.360544217687075,2.56115402846638,7.69130064700368,1.96256523463697e-11,1.10581630220726e-08,8.07374922842518e-09,"UBE2C/CDC20/CCNB1/PLK1/BIRC5/AURKB/NUSAP1/CDCA8/ZWINT/TOM1L2/NUF2/MAD2L1/TRIP13/PKMYT1/NEK2/AURKA/BUB1/DLGAP5/TTK/NDC80/SPC25/CENPF/RCC1/BUB1B/RAD51AP1/CDC25C/MKI67/SPC24/ESPL1/SKA3/CAV2/KNTC1/SKA1/CHEK1/PDGFB/APC/XRCC3/IGF2/ZWILCH/FBXO5/IL1B/MAD2L2/KIF20B/RPS6KA2/OBSL1/BORA/EDN1/PRAP1/DUSP1/PDGFRB/BMP7/CCDC8/MSX1",53
"GO:0051338","GO:0051338","regulation of transferase activity","87/2655","304/18860",0.286184210526316,2.03293190603628,7.34908681309877,2.52991192994166e-11,1.30389794767093e-08,9.51997635406556e-09,"LDB2/UBE2C/TPX2/CDC20/PLK1/SASH1/ADARB1/CDKN2A/EZH2/MAD2L1/CDKN3/ECT2/PKMYT1/HEG1/RFC4/PTK2B/RAPGEF2/CDC25C/CASS4/PCNA/TSPYL2/DSCC1/UBE2S/CDC6/HMGA2/FGR/DUSP7/ANGPT1/EMP2/CHTF18/PDGFB/PPIA/RASIP1/TFAP4/PTPN1/RFC3/APC/JAK2/TRAF4/TARBP2/RFC5/BANF1/CAMKK2/RPS2/MT3/POLG2/RPS7/MST1/S100A12/SYNPO2/FBXO5/NEDD9/MAD2L2/PIK3R5/ZFP36/LATS2/LILRA5/FGF18/YWHAG/MAP2K1/PILRB/FLT1/SERTAD1/FGF1/EEF1A2/PPP1R3F/MAP3K10/DEPTOR/PTPRC/DDR2/DOK7/TRIB3/RASSF2/DUSP1/CCDC88A/CHI3L1/RASGRP1/CDKN1A/CD4/PDGFRB/TPD52L1/PKIA/FGF2/ARRDC4/CEACAM1/PTK6/GPRC5A",87
"GO:0007409","GO:0007409","axonogenesis","120/2655","472/18860",0.254237288135593,1.80599444604041,7.17799045070171,2.91695040752502e-11,1.30389794767093e-08,9.51997635406556e-09,"CRABP2/ADARB1/SEMA3G/ROBO4/IGSF9/SLIT2/EFNA4/MACF1/BMPR2/APBB1/TRPV2/AMIGO1/ZEB2/MYCBP2/SEMA6B/ATL1/PAFAH1B1/PPP3CB/ANK3/STXBP1/EVL/NELL2/CNTN6/ULK2/WDR47/PTPRM/SEMA5A/SEMA5B/EPHB2/MYH10/LAMA2/MAP1A/PRICKLE1/EDN2/MT3/SLC9A6/CLASP2/CYFIP2/NR4A3/VAX2/NOVA2/COBL/APBB2/WNT3A/RTN4/SMO/ARTN/PLXNA3/FLRT3/NFASC/TSKU/RUFY3/CHODL/CHN1/SEMA4B/SLIT3/ROBO2/EPHB3/LHX1/SCN1B/MAP2K1/LPAR3/FEZ1/EDNRA/CNTNAP1/NTN4/NEXN/EGR2/RPL24/SPP1/PLXNC1/EDN1/FGF13/TNFRSF12A/S100B/CNTN1/VANGL2/NLGN3/OLFM1/SEMA6A/GDI1/RAB3A/RAC3/LGR6/NDN/NR4A2/MAG/KIF5A/EPHA4/LRP4/BMP7/BRSK1/APLP1/PRKCA/PLEKHG4/NTRK2/SEMA3A/FLRT2/MAP1B/MAP6/CXCL12/MAP2/DCLK1/KIF5C/ETV1/ITGA4/CNP/NCAM1/BOC/SEMA4D/PTPRH/NPTX1/EPHB6/LHX2/GFRA3/NTRK3/CHL1/NRCAM/UCHL1/CTNNA2",120
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","27/2655","50/18860",0.54,3.83593220338983,8.12743535692824,3.57635771384412e-11,1.30389794767093e-08,9.51997635406556e-09,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/PRAP1/DUSP1",27
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","27/2655","50/18860",0.54,3.83593220338983,8.12743535692824,3.57635771384412e-11,1.30389794767093e-08,9.51997635406556e-09,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/PRAP1/DUSP1",27
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","27/2655","50/18860",0.54,3.83593220338983,8.12743535692824,3.57635771384412e-11,1.30389794767093e-08,9.51997635406556e-09,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/PRAP1/DUSP1",27
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","27/2655","50/18860",0.54,3.83593220338983,8.12743535692824,3.57635771384412e-11,1.30389794767093e-08,9.51997635406556e-09,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/PRAP1/DUSP1",27
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","29/2655","57/18860",0.508771929824561,3.61410116628672,8.00042983903227,4.67395166763503e-11,1.60939735755566e-08,1.17504784907386e-08,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/CDK1/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/KAT2B/PRAP1/DUSP1",29
"GO:0051784","GO:0051784","negative regulation of nuclear division","31/2655","64/18860",0.484375,3.44079566854991,7.91691109656101,5.1751844392172e-11,1.6565955240084e-08,1.20950801747798e-08,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/TOM1L2/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/CHEK1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/RPS6KA2/PRAP1/DUSP1/BMP7",31
"GO:0001822","GO:0001822","kidney development","90/2655","323/18860",0.278637770897833,1.97932518234769,7.18580675249408,5.56919544141138e-11,1.6565955240084e-08,1.20950801747798e-08,"TEK/WFS1/SLIT2/EZH2/SOX4/CENPF/PECAM1/PAX8/MEF2C/CD24/FLCN/CD34/SGPL1/SIX4/ANGPT1/TFAP2A/CAT/ACE/HOXB7/PDGFB/GPR4/ITGA8/WT1/STRA6/EDNRB/SMAD7/LGR4/PPP3CA/HELLS/LRRK2/TCF21/KANK2/ASS1/GCNT3/SIX1/SOX17/SMO/NPNT/ZBTB16/HES1/WNT6/BMP2/OVOL1/ROBO2/LHX1/EPCAM/PLCE1/EDNRA/AGTR2/LAMA5/FGF1/EDN1/COL4A3/ADAMTS1/ODC1/VANGL2/HEYL/MAGI2/PRKX/SULF1/SIX2/TIPARP/MME/BMP6/CTSH/DCHS1/EPHA4/LRP4/PDGFRB/OSR1/BMP7/AQP1/DACT2/COL4A4/KCNJ8/MMP9/WNT11/FGF2/EGR1/OSR2/SFRP1/BASP1/FOXJ1/GPC3/IRX2/LRP2/GREM1/MMP17/HPGD/PCSK9",90
"GO:0051960","GO:0051960","regulation of nervous system development","118/2655","466/18860",0.253218884120172,1.79876013352408,7.06705259483377,5.61285995549797e-11,1.6565955240084e-08,1.20950801747798e-08,"MDK/CRABP2/SEMA3G/SLIT2/TPPP/EZH2/MACF1/RAPGEF2/SHANK3/BMPR2/NEGR1/TRPV2/AMIGO1/ZEB2/HMGA2/PAFAH1B1/LDLR/ULK2/E2F1/MAPRE3/DAAM2/CLCF1/YWHAH/SEMA5A/PRKCH/CX3CL1/EPHB2/RTN4RL1/LIG4/RHEB/PPP3CA/WASF3/MT3/WDR62/WNT3A/RTN4/GATA2/SMO/PLXNA3/FLRT3/HES1/HMGB2/IL1B/RUFY3/PRKCI/IL6ST/CHODL/DLL4/BMP2/IL34/IL6/ROBO2/EPHB3/MAP2K1/LPAR3/AGRN/RARG/LRRC4B/EGR2/BTG2/ITGAX/OBSL1/TPBG/RASSF10/SPP1/PLXNC1/TBC1D24/FGF13/TP53/TNFRSF12A/S100B/NLGN3/HEYL/HOXB3/QKI/DBN1/IL1RAP/HEY2/CX3CR1/REST/CHD7/TNFRSF1B/JAM2/GDI1/WNT2/LEF1/HES6/MME/IQSEC2/MYCN/LRRN3/MAG/EPHA4/PTPN13/LRP4/BMP7/CLCN2/PRKCA/NTRK2/SPINT1/TLR2/FLRT2/MAP1B/TRPC6/BIN1/MAP6/CXCL12/MAP2/FGF2/CST7/TGM2/BHLHE41/SRPX2/SEMA4D/LRP2/LHX2/LRRTM1/NTRK3",118
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","30/2655","61/18860",0.491803278688525,3.49356302676669,7.89559691486863,6.51702533272379e-11,1.83602377328282e-08,1.34051157442008e-08,"UBE2C/CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/DLGAP5/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/ESPL1/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/PRAP1/DUSP1",30
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","26/2655","48/18860",0.541666666666667,3.84777150031387,7.99604718684876,7.53062693057103e-11,1.85527044528739e-08,1.35456389060826e-08,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/MAD2L2/PRAP1/DUSP1",26
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","26/2655","48/18860",0.541666666666667,3.84777150031387,7.99604718684876,7.53062693057103e-11,1.85527044528739e-08,1.35456389060826e-08,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/MAD2L2/PRAP1/DUSP1",26
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","26/2655","48/18860",0.541666666666667,3.84777150031387,7.99604718684876,7.53062693057103e-11,1.85527044528739e-08,1.35456389060826e-08,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/APC/XRCC3/ZWILCH/MAD2L2/PRAP1/DUSP1",26
"GO:0000819","GO:0000819","sister chromatid segregation","71/2655","233/18860",0.304721030042918,2.16460965220695,7.24025669196997,7.83765312255022e-11,1.85527044528739e-08,1.35456389060826e-08,"UBE2C/TPX2/CDC20/CCNB1/PLK1/BIRC5/MYBL2/AURKB/KIF2C/TOP2A/NUSAP1/CDCA8/ZWINT/CDK1/NUF2/MAD2L1/TRIP13/CDT1/NEK2/KIF11/BUB1/DLGAP5/TTK/KIF23/NDC80/PRC1/RMI2/SPC25/CENPF/RCC1/BUB1B/RACGAP1/SPC24/KIF18B/NCAPH/KIF4A/ACTL6A/SPAG5/KIFC1/TACC3/CENPK/SMARCA2/CDC6/ESPL1/SKA3/NCAPG/KNTC1/SKA1/CHEK2/NCAPG2/NCAPD2/UHRF1/APC/KIF22/PRICKLE1/HECW2/KIF18A/ARHGEF10/CLASP2/SMC4/XRCC3/ZWILCH/FBXO5/MAD2L2/BCL7C/KAT2B/TUBG2/MAPK15/PRAP1/DUSP1/CHMP4C",71
"GO:0051304","GO:0051304","chromosome separation","36/2655","83/18860",0.433734939759036,3.0810700428834,7.69094518228315,8.08201065226839e-11,1.85527044528739e-08,1.35456389060826e-08,"UBE2C/CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/DLGAP5/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/NCAPH/ESPL1/SKA3/NCAPG/KNTC1/SKA1/NCAPG2/NCAPD2/APC/SMC4/XRCC3/ZWILCH/FBXO5/MAD2L2/MAPK15/PRAP1/DUSP1",36
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","62/2655","192/18860",0.322916666666667,2.29386377903327,7.29385875094249,8.78918228540273e-11,1.94554827874736e-08,1.42047724229122e-08,"UBE2C/TPX2/CDC20/CCNB1/PLK1/BIRC5/MYBL2/AURKB/KIF2C/NUSAP1/CDCA8/ZWINT/CDK1/NUF2/MAD2L1/TRIP13/CDT1/NEK2/KIF11/BUB1/DLGAP5/TTK/KIF23/NDC80/PRC1/SPC25/CENPF/RCC1/BUB1B/RACGAP1/SPC24/KIF18B/NCAPH/KIF4A/SPAG5/KIFC1/CENPK/ESPL1/SKA3/NCAPG/KNTC1/SKA1/CHEK2/NCAPG2/NCAPD2/UHRF1/APC/KIF22/PRICKLE1/KIF18A/ARHGEF10/CLASP2/SMC4/XRCC3/ZWILCH/FBXO5/MAD2L2/KAT2B/TUBG2/PRAP1/DUSP1/CHMP4C",62
"GO:0030198","GO:0030198","extracellular matrix organization","91/2655","331/18860",0.274924471299094,1.95294746843725,7.07984976745936,9.53270070596345e-11,2.0373682405366e-08,1.48751652758392e-08,"ADAMTS8/MMP11/TIE1/FOXF1/CAV1/RECK/SLC39A8/RAMP2/CAV2/ENG/ADAMTSL2/ITGA8/WT1/LRP1/TIMP3/LAMA2/FGFR4/PRICKLE1/PLOD2/MFAP4/COL6A6/FOXF2/CLASP2/FKBP10/PRDX4/TGFBR3/APBB2/ABI3BP/ADAMTS4/WNT3A/MYH11/CTSG/COL1A1/NPNT/TPSAB1/PRSS1/MMP12/BMP2/GPM6B/IL6/SERPINH1/KLK7/NTN4/MMP19/NDNF/MMP7/ADAMTSL4/KAZALD1/MMP28/LCP1/DDR2/FERMT1/COL4A3/ADAMTS1/ECM2/LOXL2/MATN3/LOXL1/SPINT2/CRISPLD2/TNFRSF1B/ADAM8/PPARG/LTBP4/SULF1/FBLN1/MMP1/COL11A1/CTSS/APLP1/SPINT1/SPOCK2/FLRT2/FBLN5/PHLDB2/COL4A4/MMP9/CHADL/CSGALNACT1/ADTRP/TMPRSS6/KLK5/DPT/THSD4/COMP/COL14A1/MMP10/HPN/GREM1/SERPINB5/MMP17",91
