"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051963","GO:0051963","regulation of synapse assembly","50/2655","181/18860",0.276243093922652,1.96231440729989,5.26558393023012,1.31209810525784e-06,5.53223405196467e-05,4.03917633691617e-05,"DOCK4/ARHGEF15/PTK2B/NEGR1/MEF2C/ICAM5/AMIGO1/MYCBP2/SIX4/PTPN1/EPHB2/RTN4RL1/PDZD11/PRICKLE1/SIGMAR1/SNCA/ELMO1/CYFIP2/WNT3A/SIX1/RTN4/FLRT3/LIN7B/ROBO2/EPHB3/AGRN/LRRC4B/DOCK10/TPBG/TRIM47/LRFN4/NLGN3/IL1RAP/RAP2A/RAC3/IQSEC2/LRRN3/PTPN13/LRP4/PRKCA/NTRK2/TLR2/FLRT2/MAP1B/LZTS1/SRPX2/SEMA4D/CRTAC1/LRRTM1/NTRK3",50
"GO:0030595","GO:0030595","leukocyte chemotaxis","61/2655","237/18860",0.257383966244726,1.82834711991545,5.19432110129481,1.33864894794216e-06,5.60604471577401e-05,4.09306673343056e-05,"MDK/S1PR1/SLIT2/PTK2B/DAPK2/CCL23/PDGFB/PPIA/SFTPD/CX3CL1/EDNRB/EDN2/PREX1/MAPK1/CTSG/ALOX5/IL16/MIR223/MPP1/PIP5K1C/S100A12/IL1B/NEDD9/FPR2/CXCL3/JAM3/IL34/IL6/SPI1/ANO6/C5AR1/FLT1/NCKAP1L/EDN1/PPBP/MMP28/CH25H/DUSP1/F2RL1/CMKLR1/CX3CR1/ADAM8/PDE4B/CAMK1D/PLA2G1B/ZNF580/THBS1/PERP/CCR1/CXCL10/PGF/CXCL12/CCL28/SCG2/RAC2/CCL24/CCL21/CCR2/GREM1/PADI2/CXCL13",61
"GO:0045787","GO:0045787","positive regulation of cell cycle","82/2655","349/18860",0.234957020057307,1.66903555490802,5.10639077300766,1.36138400865503e-06,5.66299200378785e-05,4.13464489806287e-05,"UBE2C/CDC20/CCNB1/BIRC5/PRKCE/AURKB/NUSAP1/CDCA8/CDK1/EZH2/MAD2L1/ECT2/AURKA/RRM2/BUB1/DLGAP5/KIF23/NDC80/RAD51AP1/RACGAP1/SLC6A4/CDC25C/PPP1R35/EIF4EBP1/CCNE1/NCAPH/STAT5B/SPAG5/CDC6/RANBP1/POC1A/ESPL1/SKA3/PAFAH1B1/NCAPG/DUSP3/RCC2/SKA1/CHEK1/DBF4/TCF3/CHEK2/STIL/CDK4/PDGFB/NCAPG2/DDX11/NCAPD2/FAM83D/DYNC1H1/TBX3/PLK4/NR4A3/SMC4/MTA3/XRCC3/HSF1/IGF2/SASS6/HES1/FBXO5/IL1B/DTL/OVOL1/KAT2B/KIF20B/PKP3/MAPK15/EDN1/PRAP1/DDR2/ADAMTS1/MAGEA4/PLCG2/CDC7/LEF1/PDGFRB/PRKCA/MSX1/USP2/HSPA2/PTK6",82
"GO:0061437","GO:0061437","renal system vasculature development","16/2655","32/18860",0.5,3.55178907721281,5.84769541526221,1.44659830352864e-06,5.89438963387267e-05,4.30359216657642e-05,"TEK/PECAM1/CD34/ANGPT1/PDGFB/GPR4/WT1/TCF21/HES1/EDNRA/EDN1/PDGFRB/OSR1/BMP7/AQP1/EGR1",16
"GO:0061440","GO:0061440","kidney vasculature development","16/2655","32/18860",0.5,3.55178907721281,5.84769541526221,1.44659830352864e-06,5.89438963387267e-05,4.30359216657642e-05,"TEK/PECAM1/CD34/ANGPT1/PDGFB/GPR4/WT1/TCF21/HES1/EDNRA/EDN1/PDGFRB/OSR1/BMP7/AQP1/EGR1",16
"GO:0010959","GO:0010959","regulation of metal ion transport","87/2655","377/18860",0.230769230769231,1.63928726640591,5.0751346914107,1.45797418336852e-06,5.89438963387267e-05,4.30359216657642e-05,"PRKCE/WFS1/ADRB2/KCNAB2/CAV1/PTK2B/INPP5K/ATP1A2/VAMP2/TRPV2/CALM1/AMIGO1/ADORA2A/SPINK1/PPP3CB/ANK3/HTT/PDGFB/UTRN/YWHAH/SLC31A2/CX3CL1/PKP2/SNCA/PPP3CA/PRNP/CALM3/P2RY6/SLC8A1/SCN2B/FHL1/IL16/MYLK/LCN2/HES1/CAMK2G/BAK1/GPR35/P2RX7/LILRA5/PPP3R1/ANO6/SESTD1/SCN1B/UBASH3B/HOMER1/PER1/LPAR3/KCNN4/HOMER2/SCN4B/GPD1L/FGF13/CACNB1/CNTN1/HEPH/UCP2/CHD7/CAMK2D/NEDD4L/CD4/FXYD6/PDE4B/GAL/CLIC2/PLA2G1B/PDGFRB/OSR1/RGS4/FXYD1/DPP6/CCR1/ATP1B2/CAPN3/LILRB2/TRPC6/BIN1/CXCL10/KCNF1/CXCL12/TESC/TSPAN13/BPIFA1/FXYD4/FXYD7/PLN/PCSK9",87
"GO:0001666","GO:0001666","response to hypoxia","76/2655","317/18860",0.239747634069401,1.70306605595062,5.10978748067117,1.45870856705695e-06,5.89438963387267e-05,4.30359216657642e-05,"CCNB1/AGER/PRKCE/CCNA2/CAV1/CLDN3/EPAS1/SLC6A4/CA9/ANKRD1/CD24/KCNK3/CYGB/SLC2A1/ENG/E2F1/CAT/CBFA2T3/PINK1/SUV39H2/PTPN1/CPEB2/CHCHD2/ITPR1/PLOD2/DNMT3A/MT3/PDK1/PDK3/TGFBR3/HSF1/RTN4/MIR223/LCN2/BMP2/MAP2K1/EDNRA/FAM162A/HILPDA/FOS/MB/KCNMA1/NDNF/ABAT/HSD11B2/PTGIS/EDN1/DDR2/TP53/S100B/LOXL2/CYBB/LIMD1/ARNT2/UCP2/REST/ADAM8/PPARG/PMAIP1/TWIST1/PLAT/NR4A2/EPHA4/BMP7/AQP1/PLAU/THBS1/TRPC6/KCNJ8/PGF/CXCL12/VASN/CA3/EGR1/SFRP1/EGLN3",76
"GO:0050817","GO:0050817","coagulation","63/2655","248/18860",0.254032258064516,1.80453799890651,5.16229661648853,1.46456276801612e-06,5.89438963387267e-05,4.30359216657642e-05,"VWF/CAV1/F8/PEAR1/THBD/SLC6A4/ADORA2A/HSPB1/SVEP1/GNAQ/STXBP1/ANGPT1/PDGFB/PPIA/MMRN1/SELP/EPHB2/JAK2/SH2B3/TFPI2/SCUBE1/WNT3A/CTSG/TLR4/CD36/P2RY12/CPB2/IL6ST/DGKZ/IL6/ANO6/UBASH3B/HBB/PABPC4/TYRO3/FERMT3/ADRA2C/EDN1/RASA3/F2RL1/F10/PLCG2/PROS1/FGL1/FBLN1/PLAT/EMILIN2/PRKCA/PLAU/THBS1/SERPIND1/PLEK/ENTPD2/ADTRP/FGB/PLA2G4A/CEACAM1/COMP/SERPINA1/CYP4F11/FOXA2/APOH/C4BPB",63
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","91/2655","401/18860",0.226932668329177,1.61203394526865,5.01430430707154,1.79811096505972e-06,7.16089640367228e-05,5.22828987948355e-05,"MDK/AGER/HSPD1/CD83/CDKN2A/SIRPB1/CAV1/SOX4/DAPL1/IGFBP2/SIRPA/SOX12/CD24/PRKCZ/ACTL6A/STAT5B/SMARCA2/KLF4/SPN/ADORA2A/VTCN1/IL4I1/CYLD/DUSP3/ETS1/SFTPD/SELE/SELP/TGFBR2/JAK2/SMAD7/IL7R/PPP3CA/SCRIB/PRNP/NR4A3/ASS1/CD69/LRRC32/IGF2/CTSG/ALOX5/HLX/PCK1/ZBTB16/HES1/HLA-E/IL1B/SCGB1A1/ZP3/IL6ST/SOCS1/IL6/RPS3/MAP3K8/YWHAG/CD37/DOCK8/NCKAP1L/PTPRC/EGR3/VSIG4/RASGRP1/CEBPB/TNFAIP8L2/NFKBIZ/ADAM8/CD4/FGL1/LEF1/RASAL3/SASH3/ITPKB/CD5/LILRB2/CXCL12/ADTRP/CD44/LAPTM5/CCL28/ITGA4/CD6/HLA-DRA/DTX1/FOXJ1/CD274/HLA-DRB5/PDCD1LG2/CCL21/CCR2/HLA-DQA2",91
"GO:0097237","GO:0097237","cellular response to toxic substance","40/2655","134/18860",0.298507462686567,2.12047109087332,5.26862903346033,1.80235533877521e-06,7.16089640367228e-05,5.22828987948355e-05,"SLC39A8/CDH13/CP/SESN1/CYGB/DUOX1/ALDH2/CAT/PINK1/MT3/PRDX4/NQO1/CD36/PTGES/GPX7/ALDH1A1/HBB/PTGS1/EDNRA/TXNDC17/MB/ABCG2/EDN1/DHFR/ALOX5AP/HBA2/SLC11A1/GPX8/HBA1/LANCL1/GSTO2/GPX3/CLIC2/GPX2/RAB40B/PTPN13/AKR1B10/BMP7/FBLN5/SRXN1",40
